"Date","Price","Open","High","Low","Change %"
"Mar 31, 2022","6.699","6.705","6.745","6.699","0.12%"
"Mar 30, 2022","6.691","6.828","6.828","6.691","-0.65%"
"Mar 29, 2022","6.735","6.773","6.773","6.735","-0.24%"
"Mar 28, 2022","6.751","6.755","6.792","6.746","0.37%"
"Mar 25, 2022","6.726","6.726","6.737","6.717","-0.01%"
"Mar 24, 2022","6.727","6.811","6.811","6.727","-0.01%"
"Mar 23, 2022","6.728","6.793","6.793","6.728","-0.19%"
"Mar 22, 2022","6.741","6.820","6.820","6.738","0.57%"
"Mar 21, 2022","6.703","6.751","6.751","6.703","0.15%"
"Mar 17, 2022","6.693","6.738","6.738","6.693","-0.43%"
"Mar 16, 2022","6.722","6.775","6.775","6.722","-0.04%"
"Mar 15, 2022","6.725","6.794","6.794","6.725","-0.43%"
"Mar 14, 2022","6.754","6.812","6.812","6.750","-0.19%"
"Mar 11, 2022","6.767","6.794","6.794","6.736","0.67%"
"Mar 10, 2022","6.722","6.749","6.749","6.713","-0.66%"
"Mar 09, 2022","6.767","6.804","6.831","6.764","-0.28%"
"Mar 08, 2022","6.786","6.831","6.831","6.786","0.00%"
"Mar 07, 2022","6.786","6.795","6.795","6.768","1.19%"
"Mar 04, 2022","6.706","6.750","6.750","6.706","0.01%"
"Mar 03, 2022","6.705","6.741","6.741","6.705","0.34%"
"Mar 02, 2022","6.682","6.678","6.787","6.669","0.88%"
"Feb 28, 2022","6.624","6.633","6.633","6.624","0.12%"
"Feb 25, 2022","6.616","6.706","6.706","6.616","-0.42%"
"Feb 24, 2022","6.644","6.644","6.707","6.644","0.41%"
"Feb 23, 2022","6.617","6.653","6.671","6.617","-0.76%"
"Feb 22, 2022","6.668","6.627","6.668","6.609","0.89%"
"Feb 21, 2022","6.609","6.600","6.609","6.595","0.69%"
"Feb 18, 2022","6.564","6.609","6.609","6.564","-0.08%"
"Feb 17, 2022","6.569","6.574","6.592","6.569","-0.08%"
"Feb 16, 2022","6.574","6.548","6.592","6.548","0.37%"
"Feb 15, 2022","6.550","6.575","6.592","6.550","0.44%"
"Feb 14, 2022","6.521","6.575","6.584","6.521","-0.55%"
"Feb 11, 2022","6.557","6.682","6.709","6.557","-0.58%"
"Feb 10, 2022","6.595","6.719","6.719","6.585","-1.45%"
"Feb 09, 2022","6.692","6.719","6.719","6.687","-0.27%"
"Feb 08, 2022","6.710","6.737","6.800","6.696","-0.81%"
"Feb 04, 2022","6.765","6.828","6.855","6.765","-0.13%"
"Feb 03, 2022","6.774","6.801","6.801","6.771","-0.13%"
"Feb 02, 2022","6.783","6.801","6.801","6.782","0.79%"
"Feb 01, 2022","6.730","6.717","6.793","6.717","2.64%"
"Jan 31, 2022","6.557","6.623","6.623","6.557","-1.13%"
"Jan 28, 2022","6.632","6.632","6.632","6.612","0.00%"
"Jan 27, 2022","6.632","6.641","6.641","6.606","1.48%"
"Jan 25, 2022","6.535","6.544","6.548","6.534","-0.14%"
"Jan 24, 2022","6.544","6.534","6.544","6.534","0.40%"
"Jan 21, 2022","6.518","6.518","6.536","6.518","-0.08%"
"Jan 20, 2022","6.523","6.537","6.537","6.523","-0.03%"
"Jan 19, 2022","6.525","6.581","6.581","6.525","-0.18%"
"Jan 18, 2022","6.537","6.608","6.608","6.537","0.08%"
"Jan 17, 2022","6.532","6.591","6.591","6.532","0.48%"
"Jan 14, 2022","6.501","6.503","6.520","6.494","0.05%"
"Jan 13, 2022","6.498","6.528","6.530","6.497","-0.46%"
"Jan 12, 2022","6.528","6.530","6.539","6.519","0.09%"
"Jan 11, 2022","6.522","6.539","6.539","6.513","0.00%"
"Jan 10, 2022","6.522","6.522","6.557","6.522","0.60%"
"Jan 07, 2022","6.483","6.539","6.539","6.469","0.20%"
"Jan 06, 2022","6.470","6.487","6.536","6.470","0.40%"
"Jan 05, 2022","6.444","6.481","6.481","6.444","-0.14%"
"Jan 04, 2022","6.453","6.567","6.567","6.444","0.59%"
"Jan 03, 2022","6.415","6.470","6.470","6.415","0.08%"
"Dec 31, 2021","6.410","6.436","6.436","6.410","-0.17%"
