stock,year,average_return,EBITDA_growth
3MINDIA,2017,0.000474266431608,0.1805353972434153
3MINDIA,2018,0.0023091135447868,0.3389318879712049
3MINDIA,2019,0.0010463677277352,0.0804504124512897
3MINDIA,2020,-0.000725134455141,-0.1809529570605563
3MINDIA,2021,0.0021272900859789,-0.4264642614704484
3MINDIA,2022,-0.0016136395394725,0.5000819782873644
AAVAS,2021,0.0032378959316414,0.227041614119859
AAVAS,2022,0.0005193700521199,0.1473955241186266
ABCAPITAL,2019,-0.0013971056516536,0.3323534497665572
ABCAPITAL,2020,-0.0030195138240654,0.0844527363184077
ABCAPITAL,2021,0.0047217883254668,-0.0731718668707852
ABCAPITAL,2022,-0.0001221676562343,0.0560017216951524
AIAENG,2017,0.0023047939416606,0.039037049555471
AIAENG,2018,-0.0002491275738254,-0.1102794756894472
AIAENG,2019,0.0011553075953919,0.1874915306050284
AIAENG,2020,-0.0007820073068019,0.0530205897107929
AIAENG,2021,0.0018315885000909,0.0063864722430675
AIAENG,2022,-0.0008201946469528,0.0601773973495902
AMRUTANJAN,2017,0.0017069444678797,-0.0393892744885588
AMRUTANJAN,2018,-0.0001680503023667,0.0002345183021992
AMRUTANJAN,2019,0.0009604428885678,0.0585962904553891
AMRUTANJAN,2020,0.0008433531379696,0.0292281243902567
AMRUTANJAN,2022,0.0015995492210852,0.1020294118330462
ARVINDFASN,2021,0.0002969704021721,
ASHOKLEY,2017,-0.0007814351545094,0.2999202329799002
ASHOKLEY,2018,0.0024393862287604,0.2846288550877751
ASHOKLEY,2019,-0.0015439649093288,0.1377270064440539
ASHOKLEY,2020,-0.0018485377179682,-0.3482867474937914
ASHOKLEY,2021,0.0044714832699288,-0.1888963170049836
ASHOKLEY,2022,0.0004452392429033,-0.0501127687154855
ASTERDM,2020,-0.0015094780038069,0.4238754325259517
ASTERDM,2021,0.0018230559702799,-0.1249323874103399
ASTERDM,2022,0.0017916991136562,0.3746103128247393
AUTOAXLES,2017,0.0009814315030777,0.200269933554817
AUTOAXLES,2018,0.0032275837639866,0.4841103710751666
AUTOAXLES,2019,-0.0001175463933642,0.3524228047884927
AUTOAXLES,2020,-0.0042789935267026,-0.5734337157287779
AUTOAXLES,2021,0.0046253369141748,-0.3015265247567764
AUTOAXLES,2022,0.0024187286808145,
BALAMINES,2017,0.0034446885016326,0.1288137560303965
BALAMINES,2018,0.0020600710408927,0.1870725329881273
BALAMINES,2019,-0.0001151500121594,0.0366853603036125
BALAMINES,2020,-0.0018517451326914,-0.0088545061238167
BALAMINES,2021,0.0086172413710606,
BALAMINES,2022,0.0025727325850155,0.6461516986048479
BANDHANBNK,2020,-0.0032621561912168,0.7212083459984118
BANDHANBNK,2021,0.0026900438925455,-0.2513723406483487
CENTRUM,2020,-0.004548083834562,-0.4463653392593089
CENTRUM,2021,0.0050852137343248,-0.0256816956975354
CENTRUM,2022,0.0003886609134283,-0.2592210440004875
DCMSHRIRAM,2017,0.0035832215816798,0.4989003738728832
DCMSHRIRAM,2018,0.0018050995959479,0.3340180470985254
DCMSHRIRAM,2019,0.0006673182795661,0.334808989587916
DCMSHRIRAM,2020,-0.001946050667647,-0.121002794696257
DCMSHRIRAM,2021,0.0038878444475344,-0.0279897821280983
DCMSHRIRAM,2022,0.0039247806864062,0.5175844665187901
DEEPAKFERT,2017,0.0026642331709279,0.1352601873013776
DEEPAKFERT,2018,0.0007602289427643,0.1641680699880889
DEEPAKFERT,2019,-0.002597069717469,-0.0993155517922664
DEEPAKFERT,2020,-0.0016611208818627,0.0958909475498452
DEEPAKFERT,2021,0.0052391604622802,0.7657003967544769
DEEPAKFERT,2022,0.0043093762677135,0.4169112735075608
DELTACORP,2017,0.0047398512705272,0.2777151446824502
DELTACORP,2018,0.0018756322518122,0.6233529411764707
DELTACORP,2019,0.0005867971027236,0.2837264920100009
DELTACORP,2020,-0.0048818103503487,-0.1254410477884099
DELTACORP,2021,0.0041334956395074,
DELTACORP,2022,0.0033668158862873,
DHANUKA,2017,0.0013894342049506,0.2299607998613684
DHANUKA,2018,-0.0013141245931562,-0.0282452619034784
DHANUKA,2019,-0.0010834765122108,-0.0817788151300885
DHANUKA,2020,-0.0002399688344306,0.1868740153806956
DHANUKA,2021,0.0034232194944422,0.525943440201208
DHANUKA,2022,0.000389765357834,-0.0189382656198503
EICHERMOT,2017,0.0013352354361328,0.235441100788212
EICHERMOT,2018,0.0005493303535036,0.1994354462988845
EICHERMOT,2019,-0.0009885261459571,0.1471592233275906
EICHERMOT,2020,-0.001147277747756,-0.1125265900236621
EICHERMOT,2021,0.003038579414975,-0.1857342921009399
EICHERMOT,2022,-5.364333684519304e-05,0.1836974317418842
ELGIEQUIP,2017,0.0022727062130051,0.1653692196256337
ELGIEQUIP,2018,0.0008948573374311,0.2193412891575723
ELGIEQUIP,2019,5.88297255761047e-05,0.0924349006540787
ELGIEQUIP,2020,-0.0027470568460196,-0.2615768482681389
ELGIEQUIP,2021,0.0054107153070976,0.6001795929227085
ELGIEQUIP,2022,0.0020775411117292,0.4491979498775829
GAEL,2017,0.0047922917573008,0.5017647961532559
GAEL,2018,0.0032889631483463,0.1117582941617276
GAEL,2019,0.0001621867112474,0.1765679095560526
GAEL,2020,-0.0022737361322805,-0.2409509921358261
GAEL,2021,0.0040321509024463,
GAEL,2022,0.0033732207479866,0.3201880944747248
GARFIBRES,2017,0.003298848223129,0.3209350856247197
GARFIBRES,2018,0.0012304635934092,0.2394625887250343
GARFIBRES,2019,0.0009823438490821,0.1941986630839198
GARFIBRES,2020,0.0002969106645644,-0.0157816403725377
GARFIBRES,2021,0.0037891844217436,0.1399130071107936
GARFIBRES,2022,0.0005661786689323,0.0393734123624047
GEOJITFSL,2017,0.0028728624164812,0.3989443360429323
GEOJITFSL,2018,0.0021590243568449,0.2253124385310894
GEOJITFSL,2019,-0.0027954227610806,-0.3764879832249045
GEOJITFSL,2020,-0.0022159833220485,0.200690097798758
GEOJITFSL,2022,0.0013994928544308,0.2121717549799902
GESHIP,2017,0.0013701317218831,-0.0790489592940886
GESHIP,2018,-0.0007125159407585,-0.3275291542555661
GESHIP,2019,-0.0002559368513847,0.0255939814992514
GESHIP,2020,-0.0007255155773649,0.0689301566628493
GESHIP,2021,0.0021017983375651,0.3201291244188
GESHIP,2022,0.0008189496680893,-0.1047871635061662
GMRINFRA,2017,0.0015923599618764,
GMRINFRA,2018,0.0007981333021293,-0.3576974859649271
GMRINFRA,2019,0.0010367511172084,
GMRINFRA,2020,-0.0004601482293024,
GMRINFRA,2021,0.001928260636803,
GPPL,2017,1.0838095669976632e-05,0.0983125574545842
GPPL,2018,-0.0002158916455657,-0.1081666899734303
GPPL,2019,-0.0011159337533735,0.0726174279982474
GPPL,2020,-0.0014548461676198,0.1276050064278679
GPPL,2021,0.0024883930195556,-0.1041773510587794
GPPL,2022,-0.0006044811242825,-0.0622419531961624
GREENPANEL,2022,0.0056567224689958,
GRSE,2021,0.00177427230916,-0.0721081192875089
GRSE,2022,0.0012929487045636,0.2398988715712013
GTPL,2019,-0.0022295031879632,-0.0475447116867098
GTPL,2020,-0.0012130763703428,0.4632443698023105
GTPL,2021,0.0051164014567393,0.3168545022932081
GTPL,2022,0.0021013774153278,-0.0248070427218789
HAL,2019,-0.0015648406036951,0.1662273132431868
HAL,2020,-0.0008732829996575,0.0825487039385957
HAL,2021,0.0032141354893348,0.0703993150093322
HAL,2022,0.001925768232636,0.1215183123002381
HATHWAY,2018,0.0001847198418114,0.7024830497058956
HATHWAY,2019,0.0001366995194857,
HATHWAY,2020,-0.0022637731323927,
HATHWAY,2021,0.0035785450092317,-0.0279616429056347
HATHWAY,2022,-0.0012727146622219,-0.2378541184687241
HAVELLS,2017,0.0017170018856022,-0.4985513523637832
HAVELLS,2018,0.0003677786810502,0.3409165188159491
HAVELLS,2019,0.0020550788126844,0.142628330678366
HAVELLS,2020,-0.0016170356931859,-0.1320087762067285
HAVELLS,2021,0.0034467668623201,0.5439720544867297
HAVELLS,2022,0.0005786481918188,0.0919312846049773
HCLTECH,2017,0.0005201107597627,0.522904030067354
HCLTECH,2018,0.0005520484212625,0.0887511999301859
HCLTECH,2019,0.000644280005869,0.1918082718820135
HCLTECH,2020,-0.0006674490846245,0.2041831999461967
HCLTECH,2021,0.0035739651732809,0.1714604858977939
HCLTECH,2022,0.0009448383864415,0.029606674612634
HDFCAMC,2020,0.0017605003177572,0.2341176894526324
HDFCAMC,2021,0.0015265686841569,0.058928988554076
HDFCAMC,2022,-0.0010653563815684,0.0576128736950658
HEG,2017,0.0021942732556115,-0.3749567835278015
HEG,2019,-0.000889352803421,
HEG,2020,-0.0048535863248176,
HEG,2021,0.0050808322382531,-0.557116891647448
HEG,2022,0.0004687183468186,
ICICIBANK,2017,0.0009180278407589,-0.0475728635258482
ICICIBANK,2018,0.0005999331728204,-0.1633363612513162
ICICIBANK,2019,0.0017282545186627,-0.0919420326447275
ICICIBANK,2020,-0.0005152481745357,0.5465713306631379
ICICIBANK,2021,0.002806354375513,0.1620164586593948
ICICIBANK,2022,0.0010808315277347,0.2366204075722831
IIFL,2017,0.0031588004306472,0.1663044519574272
IIFL,2018,0.0027771940732154,0.403423139178138
IIFL,2019,-0.0013878084227423,-0.1157414061373455
IIFL,2020,-0.0039271086664192,-0.1363728927102085
IIFL,2021,0.0062623348988576,0.1546535980797634
IIFL,2022,0.0004406292973651,0.2441996559686126
INDHOTEL,2017,0.0012003547943279,0.1485138078841963
INDHOTEL,2018,0.0005603728856466,0.1541038269754351
INDHOTEL,2019,0.0008448600422087,0.2188912303023076
INDHOTEL,2020,-0.0025215930377375,0.2405266992138655
INDHOTEL,2021,0.0020766445864798,
JINDALPOLY,2017,1.4647543774748464e-05,-0.2154768026329268
JINDALPOLY,2018,-0.0006697812552591,-0.1341896253155262
JINDALPOLY,2019,-0.0002765819413074,
JINDALPOLY,2020,-0.0002509105189347,
JINDALPOLY,2021,0.005840359478625,0.6788872516128788
JINDALPOLY,2022,0.002208604404628,0.46139680211489
JSL,2018,0.0008491112610979,0.1440908350968583
JSL,2019,-0.0022287937457157,-0.1391191138493061
JSL,2020,-0.0013795398262617,-0.0282047467936003
JSL,2021,0.004780093956538,0.3373952974191079
JSL,2022,0.0050842887952784,
JUBLFOOD,2017,-0.0002627858632472,-0.1146424365018989
JUBLFOOD,2018,0.0032631027618324,
JUBLFOOD,2019,0.0011799863983911,0.3971749677869551
JUBLFOOD,2020,0.0004289713437534,0.4221349987521721
