stock,year,ratio_cfo_ebitda,ratio_debt_equity
3MINDIA,2016,0.736427787,0.011282921
3MINDIA,2017,0.872527878,0.007976229
3MINDIA,2018,0.064635405,0.009444751
3MINDIA,2019,0.418120401,0.009627761
3MINDIA,2020,0.494484023,0.024061372
3MINDIA,2021,1.129663615,0.012105715
3MINDIA,2022,0.767826254,0.011254262
AAVAS,2019,,
AAVAS,2020,,2.565482437
AAVAS,2021,,
AAVAS,2022,,
ABCAPITAL,2018,,
ABCAPITAL,2019,,
ABCAPITAL,2020,0.709923854,
ABCAPITAL,2021,0.011470794,
ABCAPITAL,2022,,
AIAENG,2016,0.836543234,0.078865463
AIAENG,2017,0.318091415,0.051444573
AIAENG,2018,0.447410361,0.040799417
AIAENG,2019,0.242963147,0.036302282
AIAENG,2020,0.826000893,0.034149058
AIAENG,2021,0.723267579,0.045363909
AIAENG,2022,-0.044707964,0.00206391
AMRUTANJAN,2016,0.57281129,0.0
AMRUTANJAN,2017,0.23069342,0.021456516
AMRUTANJAN,2018,0.533658046,0.0
AMRUTANJAN,2019,0.558150388,0.0
AMRUTANJAN,2020,0.465644318,0.010620628
AMRUTANJAN,2021,1.05570775,0.006227365
AMRUTANJAN,2022,0.550259709,0.003318827
ANURAS,2021,,
ANURAS,2022,,0.484242986
ARVINDFASN,2019,,
ARVINDFASN,2020,1.039941352,
ARVINDFASN,2021,,
ARVINDFASN,2022,,1.126350819
ASHOKLEY,2016,,1.513783689
ASHOKLEY,2017,0.07817995,1.419540156
ASHOKLEY,2018,0.329509711,1.473127316
ASHOKLEY,2019,,1.542404568
ASHOKLEY,2020,0.116439771,1.835780344
ASHOKLEY,2021,,
ASHOKLEY,2022,1.121928517,
ASTERDM,2018,,
ASTERDM,2019,0.670744503,0.757765325
ASTERDM,2020,0.958922902,1.507238114
ASTERDM,2021,1.405668829,1.252868976
ASTERDM,2022,0.85598097,1.094701313
AUTOAXLES,2016,0.590791113,0.091406427
AUTOAXLES,2017,0.839737047,0.0
AUTOAXLES,2018,0.29835993,0.0
AUTOAXLES,2019,0.455120967,0.135576852
AUTOAXLES,2020,,0.066391321
AUTOAXLES,2021,0.704297265,0.053216738
AUTOAXLES,2022,0.311548566,0.037761186
BALAMINES,2016,0.559081401,0.616302449
BALAMINES,2017,0.353170412,0.588387884
BALAMINES,2018,0.688855272,0.313044787
BALAMINES,2019,0.447225425,0.384119358
BALAMINES,2020,0.690628356,0.388356706
BALAMINES,2021,0.276344535,0.139646095
BALAMINES,2022,0.355090206,0.076547167
BANDHANBNK,2018,,
BANDHANBNK,2019,0.857635175,0.046541901
BANDHANBNK,2020,1.21694341,1.077899442
BANDHANBNK,2021,-0.224507553,0.974274944
BANDHANBNK,2022,0.837110576,1.146139766
CAMS,2021,,
CAMS,2022,0.728245883,0.126513925
CENTRUM,2019,,
CENTRUM,2020,,2.157155812
CENTRUM,2021,-0.178920099,2.503496629
CENTRUM,2022,,1.143893086
CRAFTSMAN,2021,,
CRAFTSMAN,2022,0.603775326,0.70399035
DCMSHRIRAM,2016,0.183674217,0.508312949
DCMSHRIRAM,2017,0.944513731,0.424478518
DCMSHRIRAM,2018,0.758093195,0.248452862
DCMSHRIRAM,2019,0.532077208,0.456579503
DCMSHRIRAM,2020,0.387693245,0.554434549
DCMSHRIRAM,2021,1.516386987,0.327169578
DCMSHRIRAM,2022,0.648392734,0.28668254
DEEPAKFERT,2016,-0.257331782,1.282798843
DEEPAKFERT,2017,,0.994432011
DEEPAKFERT,2018,-0.231989134,1.692830098
DEEPAKFERT,2019,,1.415802056
DEEPAKFERT,2020,1.033473925,1.355796772
DEEPAKFERT,2021,1.262677382,0.926189456
DEEPAKFERT,2022,0.865088436,0.663749784
DELTACORP,2016,0.880871853,0.281536285
DELTACORP,2017,0.77,0.236068831
