stock,year,average_return
3MINDIA,2016,0.0015603225475991516
3MINDIA,2017,0.00047426643160806335
3MINDIA,2018,0.0023091135447868244
3MINDIA,2019,0.0010463677277352463
3MINDIA,2020,-0.0007251344551410914
3MINDIA,2021,0.002127290085978968
3MINDIA,2022,-0.0016136395394725416
AAVAS,2016,
AAVAS,2017,
AAVAS,2018,
AAVAS,2019,
AAVAS,2020,0.0007771430476871604
AAVAS,2021,0.003237895931641418
AAVAS,2022,0.0005193700521199546
ABCAPITAL,2016,
ABCAPITAL,2017,
ABCAPITAL,2018,-0.0032276502416536757
ABCAPITAL,2019,-0.0013971056516536913
ABCAPITAL,2020,-0.0030195138240654146
ABCAPITAL,2021,0.00472178832546682
ABCAPITAL,2022,-0.00012216765623433219
AIAENG,2016,-0.000745025498622382
AIAENG,2017,0.002304793941660673
AIAENG,2018,-0.0002491275738254838
AIAENG,2019,0.0011553075953919852
AIAENG,2020,-0.0007820073068019665
AIAENG,2021,0.001831588500090996
AIAENG,2022,-0.0008201946469528644
AMRUTANJAN,2016,-0.0005356341775172366
AMRUTANJAN,2017,0.001706944467879778
AMRUTANJAN,2018,-0.00016805030236679373
AMRUTANJAN,2019,0.0009604428885678344
AMRUTANJAN,2020,0.0008433531379696657
AMRUTANJAN,2021,0.002554516785072613
AMRUTANJAN,2022,0.0015995492210852601
ANURAS,2016,
ANURAS,2017,
ANURAS,2018,
ANURAS,2019,
ANURAS,2020,
ANURAS,2021,
ANURAS,2022,0.002346797079314776
ARVINDFASN,2016,
ARVINDFASN,2017,
ARVINDFASN,2018,
ARVINDFASN,2019,
ARVINDFASN,2020,-0.007179667117186819
ARVINDFASN,2021,0.0002969704021721721
ARVINDFASN,2022,0.003448703283538353
ASHOKLEY,2016,0.0018596002052832605
ASHOKLEY,2017,-0.0007814351545094614
ASHOKLEY,2018,0.0024393862287604004
ASHOKLEY,2019,-0.0015439649093288324
ASHOKLEY,2020,-0.0018485377179682226
ASHOKLEY,2021,0.004471483269928892
ASHOKLEY,2022,0.0004452392429033794
ASTERDM,2016,
ASTERDM,2017,
ASTERDM,2018,
ASTERDM,2019,-0.0002029384093586575
ASTERDM,2020,-0.0015094780038069837
ASTERDM,2021,0.0018230559702799019
ASTERDM,2022,0.001791699113656287
AUTOAXLES,2016,-0.0010316779419440912
AUTOAXLES,2017,0.0009814315030777327
AUTOAXLES,2018,0.003227583763986634
AUTOAXLES,2019,-0.00011754639336421382
AUTOAXLES,2020,-0.004278993526702627
AUTOAXLES,2021,0.004625336914174812
AUTOAXLES,2022,0.002418728680814509
BALAMINES,2016,0.004045758070335674
BALAMINES,2017,0.00344468850163268
BALAMINES,2018,0.0020600710408927273
BALAMINES,2019,-0.00011515001215947957
BALAMINES,2020,-0.0018517451326914053
BALAMINES,2021,0.008617241371060696
BALAMINES,2022,0.0025727325850155415
BANDHANBNK,2016,
BANDHANBNK,2017,
BANDHANBNK,2018,
BANDHANBNK,2019,0.000881974911138933
BANDHANBNK,2020,-0.0032621561912168397
BANDHANBNK,2021,0.0026900438925455392
BANDHANBNK,2022,-6.038938479403072e-05
CAMS,2016,
CAMS,2017,
CAMS,2018,
CAMS,2019,
CAMS,2020,
CAMS,2021,
CAMS,2022,0.001303686625743751
CENTRUM,2016,
CENTRUM,2017,
CENTRUM,2018,
CENTRUM,2019,-0.0022462190366205263
CENTRUM,2020,-0.0045480838345620216
CENTRUM,2021,0.005085213734324889
CENTRUM,2022,0.00038866091342839557
CRAFTSMAN,2016,
CRAFTSMAN,2017,
CRAFTSMAN,2018,
CRAFTSMAN,2019,
CRAFTSMAN,2020,
CRAFTSMAN,2021,
CRAFTSMAN,2022,0.002343300513876017
DCMSHRIRAM,2016,0.001378594454944347
DCMSHRIRAM,2017,0.003583221581679864
DCMSHRIRAM,2018,0.001805099595947929
DCMSHRIRAM,2019,0.0006673182795661804
DCMSHRIRAM,2020,-0.0019460506676470212
DCMSHRIRAM,2021,0.003887844447534475
DCMSHRIRAM,2022,0.003924780686406275
DEEPAKFERT,2016,0.0006716707003677166
DEEPAKFERT,2017,0.0026642331709279105
DEEPAKFERT,2018,0.0007602289427643635
DEEPAKFERT,2019,-0.00259706971746909
DEEPAKFERT,2020,-0.0016611208818627671
DEEPAKFERT,2021,0.0052391604622802545
DEEPAKFERT,2022,0.004309376267713501
DELTACORP,2016,-0.0003878783338942721
DELTACORP,2017,0.004739851270527207
DELTACORP,2018,0.0018756322518122663
DELTACORP,2019,0.0005867971027236473
DELTACORP,2020,-0.0048818103503487295
DELTACORP,2021,0.004133495639507454
DELTACORP,2022,0.0033668158862873087
DHANUKA,2016,-9.654629151986682e-05
DHANUKA,2017,0.0013894342049506766
DHANUKA,2018,-0.0013141245931562497
DHANUKA,2019,-0.001083476512210875
DHANUKA,2020,-0.00023996883443065293
DHANUKA,2021,0.003423219494442208
DHANUKA,2022,0.0003897653578340516
DOLATALGO,2016,
DOLATALGO,2017,
DOLATALGO,2018,
DOLATALGO,2019,
DOLATALGO,2020,-0.00019396225944766292
DOLATALGO,2021,0.0032987554784550946
DOLATALGO,2022,0.0013141904384177188
EICHERMOT,2016,0.0010075975653012585
EICHERMOT,2017,0.0013352354361328353
EICHERMOT,2018,0.0005493303535036262
EICHERMOT,2019,-0.0009885261459571077
