stock,year,total_risk
3MINDIA,2016,0.02484491463662499
3MINDIA,2017,0.018671927483229475
3MINDIA,2018,0.020508831078979828
3MINDIA,2019,0.018940322325880346
3MINDIA,2020,0.023162489231054517
3MINDIA,2021,0.01996353565962875
3MINDIA,2022,0.016735353917736062
AAVAS,2016,
AAVAS,2017,
AAVAS,2018,
AAVAS,2019,
AAVAS,2020,0.02952075227625795
AAVAS,2021,0.027681880499793435
AAVAS,2022,0.02376597765661748
ABCAPITAL,2016,
ABCAPITAL,2017,
ABCAPITAL,2018,0.01988585042010179
ABCAPITAL,2019,0.020002007409119477
ABCAPITAL,2020,0.02916100409198957
ABCAPITAL,2021,0.0329886778448657
ABCAPITAL,2022,0.024171706621021326
AIAENG,2016,0.020961757323426585
AIAENG,2017,0.018491934341522957
AIAENG,2018,0.01629023765544041
AIAENG,2019,0.01713209327424779
AIAENG,2020,0.022571074942393084
AIAENG,2021,0.02369196031064592
AIAENG,2022,0.014763388809307719
AMRUTANJAN,2016,0.024452920778484682
AMRUTANJAN,2017,0.02375541622863695
AMRUTANJAN,2018,0.018483545235909823
AMRUTANJAN,2019,0.02911020508442905
AMRUTANJAN,2020,0.03282605215088694
AMRUTANJAN,2021,0.027323644521038387
AMRUTANJAN,2022,0.021043329662302962
ANURAS,2016,
ANURAS,2017,
ANURAS,2018,
ANURAS,2019,
ANURAS,2020,
ANURAS,2021,
ANURAS,2022,0.02188394952564471
ARVINDFASN,2016,
ARVINDFASN,2017,
ARVINDFASN,2018,
ARVINDFASN,2019,
ARVINDFASN,2020,0.035918864899760185
ARVINDFASN,2021,0.03220231513527155
ARVINDFASN,2022,0.03427681719055833
ASHOKLEY,2016,0.023121324360710356
ASHOKLEY,2017,0.019541915305163682
ASHOKLEY,2018,0.018592211461698954
ASHOKLEY,2019,0.024977322239637948
ASHOKLEY,2020,0.03766838940619395
ASHOKLEY,2021,0.03415413330284913
ASHOKLEY,2022,0.0234327830229778
ASTERDM,2016,
ASTERDM,2017,
ASTERDM,2018,
ASTERDM,2019,0.019067717677175675
ASTERDM,2020,0.02973595963951269
ASTERDM,2021,0.026565027481398912
ASTERDM,2022,0.0259472343050502
AUTOAXLES,2016,0.02311944260425104
AUTOAXLES,2017,0.020268700038024105
AUTOAXLES,2018,0.023179730783452857
AUTOAXLES,2019,0.02564719666721405
AUTOAXLES,2020,0.030620166951075098
AUTOAXLES,2021,0.03360109478856111
AUTOAXLES,2022,0.03078835857009748
BALAMINES,2016,0.043475367767671316
BALAMINES,2017,0.026634421582536268
BALAMINES,2018,0.030144566935700782
BALAMINES,2019,0.027622530124045874
BALAMINES,2020,0.03957592921051183
BALAMINES,2021,0.040091183654673845
BALAMINES,2022,0.03319962427046544
BANDHANBNK,2016,
BANDHANBNK,2017,
BANDHANBNK,2018,
BANDHANBNK,2019,0.029281095616651393
BANDHANBNK,2020,0.03774848182009066
BANDHANBNK,2021,0.03617514268547207
BANDHANBNK,2022,0.02523042381851118
CAMS,2016,
CAMS,2017,
CAMS,2018,
CAMS,2019,
CAMS,2020,
CAMS,2021,
CAMS,2022,0.02631725277236407
CENTRUM,2016,
CENTRUM,2017,
CENTRUM,2018,
CENTRUM,2019,0.030151086764888427
CENTRUM,2020,0.03511664367218513
CENTRUM,2021,0.03281944496201588
CENTRUM,2022,0.03899309511140458
CRAFTSMAN,2016,
CRAFTSMAN,2017,
CRAFTSMAN,2018,
CRAFTSMAN,2019,
CRAFTSMAN,2020,
CRAFTSMAN,2021,
CRAFTSMAN,2022,0.024453358867099692
DCMSHRIRAM,2016,0.029650615729809253
DCMSHRIRAM,2017,0.029876518294378738
DCMSHRIRAM,2018,0.023287357525730096
DCMSHRIRAM,2019,0.036870697073180816
DCMSHRIRAM,2020,0.033397496107526604
DCMSHRIRAM,2021,0.030207383987915518
DCMSHRIRAM,2022,0.034612711734078316
DEEPAKFERT,2016,0.02089592387928801
DEEPAKFERT,2017,0.027548666106964964
DEEPAKFERT,2018,0.023961942546723927
DEEPAKFERT,2019,0.027303528272063192
DEEPAKFERT,2020,0.03819881088201342
DEEPAKFERT,2021,0.03289064579094179
DEEPAKFERT,2022,0.03444340746952648
DELTACORP,2016,0.03218745366808344
DELTACORP,2017,0.03564897426316674
DELTACORP,2018,0.033422578628743975
DELTACORP,2019,0.02790277016835963
DELTACORP,2020,0.03624638665028228
DELTACORP,2021,0.031195083462520617
DELTACORP,2022,0.030872927646125595
DHANUKA,2016,0.02377821329259199
DHANUKA,2017,0.018666912644735724
DHANUKA,2018,0.017260870952282303
DHANUKA,2019,0.021323959158654166
DHANUKA,2020,0.026043298162235422
DHANUKA,2021,0.028912876416111077
DHANUKA,2022,0.019202763206739623
DOLATALGO,2016,
DOLATALGO,2017,
DOLATALGO,2018,
DOLATALGO,2019,
DOLATALGO,2020,0.04465419609272356
DOLATALGO,2021,0.03341523001021419
DOLATALGO,2022,0.03295880478858965
EICHERMOT,2016,0.022408555381369592
EICHERMOT,2017,0.018358075068140793
EICHERMOT,2018,0.015246415583516436
EICHERMOT,2019,0.021810629545289256
EICHERMOT,2020,0.027138412581162414
EICHERMOT,2021,0.02353657182723043
EICHERMOT,2022,0.017696381055822524
ELGIEQUIP,2016,0.021828186243082675
ELGIEQUIP,2017,0.021293738821754483
ELGIEQUIP,2018,0.021094649241328135
ELGIEQUIP,2019,0.0206457174017961
ELGIEQUIP,2020,0.021446107759241478
ELGIEQUIP,2021,0.031621087228184554
ELGIEQUIP,2022,0.032087716843737686
FINOPB,2016,
FINOPB,2017,
FINOPB,2018,
FINOPB,2019,
FINOPB,2020,
FINOPB,2021,
FINOPB,2022,
GAEL,2016,0.034332663668334325
GAEL,2017,0.03078286415666781
GAEL,2018,0.0339488474560538
GAEL,2019,0.02774484811036856
GAEL,2020,0.03535827395537035
GAEL,2021,0.029940963851256185
GAEL,2022,0.03175851648125855
GARFIBRES,2016,0.03089072778811916
GARFIBRES,2017,0.023314018613519658
GARFIBRES,2018,0.018394855231816196
GARFIBRES,2019,0.01945191581494964
GARFIBRES,2020,0.02789836649634409
GARFIBRES,2021,0.02411034561855627
GARFIBRES,2022,0.01918441303956564
GEOJITFSL,2016,0.0268409365948277
GEOJITFSL,2017,0.022164790678672844
GEOJITFSL,2018,0.02678547929759577
GEOJITFSL,2019,0.026048688174586415
GEOJITFSL,2020,0.027013071030289073
GEOJITFSL,2021,0.03712277034021009
GEOJITFSL,2022,0.029794026674383033
GESHIP,2016,0.018841139597035653
GESHIP,2017,0.017481259631980755
GESHIP,2018,0.01850800104363192
GESHIP,2019,0.022693629946999746
GESHIP,2020,0.028036944148429055
GESHIP,2021,0.027530459604013614
GESHIP,2022,0.023523939875259678
GMRINFRA,2016,0.03289294757506137
GMRINFRA,2017,0.024095959353584058
GMRINFRA,2018,0.034404049447996715
GMRINFRA,2019,0.026266722892057476
GMRINFRA,2020,0.026670314717370993
GMRINFRA,2021,0.026092391319537327
GMRINFRA,2022,0.029204452567537457
GPPL,2016,0.027516009282938007
GPPL,2017,0.019078604062760074
GPPL,2018,0.02018052387710441
GPPL,2019,0.02020703370270953
GPPL,2020,0.025689628490446675
GPPL,2021,0.024592744526965714
GPPL,2022,0.02044599341613024
GREENPANEL,2016,
GREENPANEL,2017,
GREENPANEL,2018,
GREENPANEL,2019,
GREENPANEL,2020,
GREENPANEL,2021,0.03263627823265466
GREENPANEL,2022,0.028206228295502712
GRSE,2016,
GRSE,2017,
GRSE,2018,
GRSE,2019,
GRSE,2020,0.034613091346027726
GRSE,2021,0.030506712318881538
GRSE,2022,0.026904015647340657
GTPL,2016,
GTPL,2017,
GTPL,2018,0.027443753753482566
GTPL,2019,0.03425987662140153
GTPL,2020,0.03952531699132958
GTPL,2021,0.03970523274991116
GTPL,2022,0.03336450129678274
HAL,2016,
HAL,2017,
HAL,2018,
HAL,2019,0.021700409249421737
HAL,2020,0.020455967262233497
HAL,2021,0.03148579580939006
HAL,2022,0.01965304571972982
HATHWAY,2016,0.030423434510058956
HATHWAY,2017,0.02187940090343003
HATHWAY,2018,0.03626083578118274
HATHWAY,2019,0.03803827141033232
HATHWAY,2020,0.04338588813513554
HATHWAY,2021,0.04535146950093869
HATHWAY,2022,0.025944650812799938
HAVELLS,2016,0.02011345807421362
HAVELLS,2017,0.01894223104572257
HAVELLS,2018,0.017302200696205184
HAVELLS,2019,0.019511437246266358
HAVELLS,2020,0.019881003547712738
HAVELLS,2021,0.02416592997971436
HAVELLS,2022,0.018999804002476688
HCLTECH,2016,0.01898477644877708
HCLTECH,2017,0.014513532499649408
HCLTECH,2018,0.01287807166974657
HCLTECH,2019,0.017716696273936343
HCLTECH,2020,0.01856973559075891
HCLTECH,2021,0.022628645430121302
HCLTECH,2022,0.015991005134833716
HDFCAMC,2016,
HDFCAMC,2017,
HDFCAMC,2018,
HDFCAMC,2019,0.01812973000300284
HDFCAMC,2020,0.028264199139967968
HDFCAMC,2021,0.0192598551334275
HDFCAMC,2022,0.015975825646293452
HEG,2016,0.026155974851406943
HEG,2017,0.024859299598705774
HEG,2018,0.04756857999486016
HEG,2019,0.037048646454869216
HEG,2020,0.04065549434042536
HEG,2021,0.036107568314738936
HEG,2022,0.038348570139582185
ICICIBANK,2016,0.0217652773664828
ICICIBANK,2017,0.020103631279593765
ICICIBANK,2018,0.018117019424838007
ICICIBANK,2019,0.019353419575323032
ICICIBANK,2020,0.025316397052374862
ICICIBANK,2021,0.030079503269285195
ICICIBANK,2022,0.01766253892097752
IIFL,2016,0.021780951014751672
IIFL,2017,0.027221057893622173
IIFL,2018,0.02508369653763138
IIFL,2019,0.03266613571908543
IIFL,2020,0.0378858378448847
IIFL,2021,0.04181093685872887
IIFL,2022,0.02641977494052097
INDHOTEL,2016,0.020161944967933845
INDHOTEL,2017,0.019188256434248593
INDHOTEL,2018,0.02009890177861111
INDHOTEL,2019,0.019039022729919666
INDHOTEL,2020,0.025501312775640127
INDHOTEL,2021,0.03147976489131953
INDHOTEL,2022,0.027465393295009726
JINDALPOLY,2016,0.03619930286237517
JINDALPOLY,2017,0.02377009365293445
JINDALPOLY,2018,0.023803348843753173
JINDALPOLY,2019,0.032355322616898
JINDALPOLY,2020,0.030742760625049676
JINDALPOLY,2021,0.034772039502082346
