,0
0,EICHERMOT
1,HCLTECH
2,ICICIBANK
3,KOTAKBANK
4,NESTLEIND
5,RELIANCE
6,SHREECEM
7,TATAMOTORS
8,AMBUJACEM
9,BANDHANBNK
10,HDFCAMC
11,HAVELLS
12,JUBLFOOD
13,LTI
14,MUTHOOTFIN
15,TORNTPHARM
16,3MINDIA
17,AIAENG
18,AAVAS
19,ABCAPITAL
20,ASHOKLEY
21,GMRINFRA
22,HAL
23,INDHOTEL
24,KAJARIACER
25,LAURUSLABS
26,MPHASIS
27,NATIONALUM
28,NAM-INDIA
29,PETRONET
30,PFC
31,RELAXO
32,STARHEALTH
33,SUMICHEM
34,TRIDENT
35,UNOMINDA
36,UNIONBANK
37,ANURAS
38,ASTERDM
39,BALAMINES
40,CAMS
41,DCMSHRIRAM
42,DELTACORP
43,ELGIEQUIP
44,GARFIBRES
45,GESHIP
46,GAEL
47,GPPL
48,HEG
49,HATHWAY
50,IIFL
51,INFIBEAM
52,JSL
53,KNRCON
54,MMTC
55,MGL
56,NESCO
57,RBLBANK
58,RAILTEL
59,SIS
60,SHILPAMED
61,SOBHA
62,STAR
63,SPARC
64,THYROCARE
65,UFLEX
66,VAKRANGEE
67,AMRUTANJAN
68,ARVINDFASN
69,AUTOAXLES
70,CENTRUM
71,CRAFTSMAN
72,DEEPAKFERT
73,DHANUKA
74,DOLATALGO
75,FINOPB
76,GTPL
77,GRSE
78,GEOJITFSL
79,GREENPANEL
80,IFCI
81,JINDALPOLY
82,KCP
83,KSL
84,KOLTEPATIL
85,NEWGEN
86,NUCLEUS
87,ORISSAMINE
88,PILANIINVS
89,PUNJABCHEM
90,RATEGAIN
91,RAYMOND
92,RELINFRA
93,SANSERA
94,SHALBY
95,SHOPERSTOP
96,USHAMART
