,0
0,EICHERMOT
1,HCLTECH
2,ICICIBANK
3,KOTAKBANK
4,RELIANCE
5,SHREECEM
6,TATAMOTORS
7,BANDHANBNK
8,HDFCAMC
9,HAVELLS
10,JUBLFOOD
11,LTI
12,MUTHOOTFIN
13,TORNTPHARM
14,3MINDIA
15,AIAENG
16,AAVAS
17,ABCAPITAL
18,ASHOKLEY
19,GMRINFRA
20,HAL
21,INDHOTEL
22,KAJARIACER
23,LAURUSLABS
24,MPHASIS
25,NATIONALUM
26,NAM-INDIA
27,PETRONET
28,PFC
29,RELAXO
30,SUMICHEM
31,TRIDENT
32,UNOMINDA
33,UNIONBANK
34,ANURAS
35,ASTERDM
36,BALAMINES
37,CAMS
38,DCMSHRIRAM
39,DELTACORP
40,ELGIEQUIP
41,GARFIBRES
42,GESHIP
43,GAEL
44,GPPL
45,HEG
46,HATHWAY
47,IIFL
48,JSL
49,KNRCON
50,MGL
51,NESCO
52,RBLBANK
53,RAILTEL
54,SIS
55,SHILPAMED
56,SOBHA
57,STAR
58,SPARC
59,THYROCARE
60,UFLEX
61,AMRUTANJAN
62,ARVINDFASN
63,AUTOAXLES
64,CENTRUM
65,CRAFTSMAN
66,DEEPAKFERT
67,DHANUKA
68,DOLATALGO
69,FINOPB
70,GTPL
71,GRSE
72,GEOJITFSL
73,GREENPANEL
74,JINDALPOLY
75,KCP
76,KSL
77,KOLTEPATIL
78,NEWGEN
79,NUCLEUS
80,ORISSAMINE
81,PILANIINVS
82,PUNJABCHEM
83,RATEGAIN
84,RAYMOND
85,RELINFRA
86,SANSERA
87,SHALBY
88,SHOPERSTOP
89,USHAMART
